paddle1 action: 1 | frame: 1840
paddle1 action: 2 | frame: 1848
paddle1 action: 0 | frame: 1856
paddle1 action: 0 | frame: 1864
paddle1 action: 1 | frame: 1872
paddle1 action: 2 | frame: 1880
paddle1 action: 0 | frame: 1888
paddle1 action: 1 | frame: 1896
paddle1 action: 1 | frame: 1904
paddle1 action: 2 | frame: 1912
paddle1 action: 2 | frame: 1920
paddle1 action: 2 | frame: 1928
paddle1 action: 1 | frame: 1936
paddle1 action: 0 | frame: 1944
paddle1 action: 1 | frame: 1952
level changed to 3
paddle1 action: 0 | frame: 1960
paddle1 action: 2 | frame: 1968
paddle1 action: 2 | frame: 1976
paddle1 action: 2 | frame: 1984
paddle1 action: 2 | frame: 1992
paddle1 action: 2 | frame: 2000
paddle1 action: 2 | frame: 2008
paddle1 action: 2 | frame: 2016
paddle1 action: 1 | frame: 16
paddle1 action: 2 | frame: 24
paddle1 action: 2 | frame: 32
paddle1 action: 2 | frame: 40
paddle1 action: 2 | frame: 48
paddle1 action: 2 | frame: 56
paddle1 action: 2 | frame: 64
paddle1 action: 2 | frame: 72
paddle1 action: 2 | frame: 80
paddle1 action: 2 | frame: 88
paddle1 action: 1 | frame: 96
paddle1 action: 2 | frame: 104
paddle1 action: 2 | frame: 112
paddle1 action: 1 | frame: 120
paddle1 action: 0 | frame: 128
paddle1 action: 0 | frame: 136
paddle1 action: 1 | frame: 144
paddle1 action: 1 | frame: 152
paddle1 action: 0 | frame: 160
paddle1 action: 2 | frame: 168
paddle1 action: 0 | frame: 176
paddle1 action: 1 | frame: 184
paddle1 action: 2 | frame: 192
paddle1 action: 1 | frame: 200
paddle1 action: 0 | frame: 208
paddle1 action: 1 | frame: 216
paddle1 action: 0 | frame: 224
paddle1 action: 0 | frame: 232
paddle1 action: 1 | frame: 240
paddle1 action: 0 | frame: 248
paddle1 action: 1 | frame: 256
paddle1 action: 0 | frame: 264
paddle1 action: 2 | frame: 272
paddle1 action: 2 | frame: 280
paddle1 action: 2 | frame: 288
paddle1 action: 0 | frame: 296
paddle1 action: 1 | frame: 304
paddle1 action: 2 | frame: 312
paddle1 action: 2 | frame: 320
paddle1 action: 0 | frame: 328
paddle1 action: 1 | frame: 336
paddle1 action: 1 | frame: 344
paddle1 action: 2 | frame: 352
paddle1 action: 1 | frame: 360
paddle1 action: 1 | frame: 368
paddle1 action: 0 | frame: 376
paddle1 action: 0 | frame: 384
paddle1 action: 0 | frame: 392
paddle1 action: 2 | frame: 400
paddle1 action: 2 | frame: 408
paddle1 action: 2 | frame: 416
paddle1 action: 2 | frame: 424
paddle1 action: 2 | frame: 432
paddle1 action: 2 | frame: 440
paddle1 action: 2 | frame: 448
paddle1 action: 2 | frame: 456
paddle1 action: 2 | frame: 464
paddle1 action: 2 | frame: 472
paddle1 action: 2 | frame: 480
